{'statesScanned': 8783035, 'win?': 0, 'timeTaken': '0:17:29.902000', 'score': 2416, 'startTime': '2016-11-27 20:57:20', 'maxTile': 1024, 'moves': 1094}
{'statesScanned': 13692927, 'win?': 1, 'timeTaken': '0:27:48.008000', 'score': 4212, 'startTime': '2016-11-27 21:14:51', 'maxTile': 2048, 'moves': 1915}
{'statesScanned': 8721715, 'win?': 0, 'timeTaken': '0:17:20.102000', 'score': 2144, 'startTime': '2016-11-27 21:42:40', 'maxTile': 1024, 'moves': 986}
{'statesScanned': 13414769, 'win?': 1, 'timeTaken': '0:26:52.527000', 'score': 3666, 'startTime': '2016-11-27 22:00:01', 'maxTile': 2048, 'moves': 1660}
{'statesScanned': 13587719, 'win?': 1, 'timeTaken': '0:27:42.407000', 'score': 5288, 'startTime': '2016-11-27 22:26:55', 'maxTile': 2048, 'moves': 2398}
{'statesScanned': 8251600, 'win?': 0, 'timeTaken': '0:16:33.018000', 'score': 2408, 'startTime': '2016-11-27 22:54:38', 'maxTile': 1024, 'moves': 1090}
{'statesScanned': 11631196, 'win?': 1, 'timeTaken': '0:23:15.303000', 'score': 2980, 'startTime': '2016-11-27 23:11:12', 'maxTile': 2048, 'moves': 1348}
{'statesScanned': 7102671, 'win?': 0, 'timeTaken': '0:14:07.528000', 'score': 2234, 'startTime': '2016-11-27 23:34:29', 'maxTile': 1024, 'moves': 1013}
{'statesScanned': 13932332, 'win?': 1, 'timeTaken': '0:28:08.741000', 'score': 4154, 'startTime': '2016-11-27 23:48:37', 'maxTile': 2048, 'moves': 1867}
{'statesScanned': 12463944, 'win?': 1, 'timeTaken': '0:25:12.031000', 'score': 3962, 'startTime': '2016-11-28 00:16:47', 'maxTile': 2048, 'moves': 1784}
{'statesScanned': 7295360, 'win?': 0, 'timeTaken': '0:14:33.987000', 'score': 1926, 'startTime': '2016-11-28 00:42:00', 'maxTile': 1024, 'moves': 860}
{'statesScanned': 10962237, 'win?': 1, 'timeTaken': '0:22:04.367000', 'score': 3684, 'startTime': '2016-11-28 00:56:35', 'maxTile': 2048, 'moves': 1692}
{'statesScanned': 9744080, 'win?': 1, 'timeTaken': '0:19:56.901000', 'score': 4158, 'startTime': '2016-11-28 01:18:40', 'maxTile': 2048, 'moves': 1891}
{'statesScanned': 15199390, 'win?': 1, 'timeTaken': '0:30:53.928000', 'score': 5504, 'startTime': '2016-11-28 01:38:38', 'maxTile': 4096, 'moves': 2518}
{'statesScanned': 5859855, 'win?': 0, 'timeTaken': '0:11:32.622000', 'score': 1332, 'startTime': '2016-11-28 02:09:33', 'maxTile': 512, 'moves': 599}
{'statesScanned': 3397115, 'win?': 0, 'timeTaken': '0:06:36.275000', 'score': 706, 'startTime': '2016-11-28 02:21:07', 'maxTile': 256, 'moves': 324}
{'statesScanned': 6249982, 'win?': 0, 'timeTaken': '0:12:23.793000', 'score': 1524, 'startTime': '2016-11-28 02:27:44', 'maxTile': 512, 'moves': 708}
{'statesScanned': 17709022, 'win?': 1, 'timeTaken': '0:36:04.677000', 'score': 6030, 'startTime': '2016-11-28 02:40:09', 'maxTile': 4096, 'moves': 2729}
{'statesScanned': 6233242, 'win?': 0, 'timeTaken': '0:12:23.066000', 'score': 1520, 'startTime': '2016-11-28 03:16:15', 'maxTile': 512, 'moves': 704}
{'statesScanned': 5083459, 'win?': 0, 'timeTaken': '0:10:04.449000', 'score': 1248, 'startTime': '2016-11-28 03:28:39', 'maxTile': 512, 'moves': 563}
{'statesScanned': 4146992, 'win?': 0, 'timeTaken': '0:08:08.795000', 'score': 1186, 'startTime': '2016-11-28 03:38:44', 'maxTile': 512, 'moves': 539}
{'statesScanned': 14740488, 'win?': 1, 'timeTaken': '0:29:53.652000', 'score': 5164, 'startTime': '2016-11-28 03:46:54', 'maxTile': 4096, 'moves': 2370}
{'statesScanned': 8631370, 'win?': 0, 'timeTaken': '0:17:30.127000', 'score': 2932, 'startTime': '2016-11-28 04:16:49', 'maxTile': 1024, 'moves': 1328}
{'statesScanned': 12294506, 'win?': 1, 'timeTaken': '0:24:47.267000', 'score': 3868, 'startTime': '2016-11-28 04:34:20', 'maxTile': 2048, 'moves': 1740}
{'statesScanned': 11108434, 'win?': 1, 'timeTaken': '0:22:19.991000', 'score': 3448, 'startTime': '2016-11-28 04:59:08', 'maxTile': 2048, 'moves': 1574}
{'statesScanned': 10374244, 'win?': 1, 'timeTaken': '0:20:57.437000', 'score': 3538, 'startTime': '2016-11-28 05:21:29', 'maxTile': 2048, 'moves': 1616}
{'statesScanned': 5275655, 'win?': 0, 'timeTaken': '0:10:21.605000', 'score': 1216, 'startTime': '2016-11-28 05:42:28', 'maxTile': 512, 'moves': 563}
{'statesScanned': 7828631, 'win?': 0, 'timeTaken': '0:15:39.662000', 'score': 2508, 'startTime': '2016-11-28 05:52:50', 'maxTile': 1024, 'moves': 1120}
{'statesScanned': 3929033, 'win?': 0, 'timeTaken': '0:07:33.853000', 'score': 684, 'startTime': '2016-11-28 06:08:31', 'maxTile': 256, 'moves': 306}
{'statesScanned': 8716315, 'win?': 0, 'timeTaken': '0:17:28.983000', 'score': 2604, 'startTime': '2016-11-28 06:16:06', 'maxTile': 1024, 'moves': 1183}
{'statesScanned': 9334203, 'win?': 1, 'timeTaken': '0:18:55.789000', 'score': 3176, 'startTime': '2016-11-28 06:33:36', 'maxTile': 2048, 'moves': 1449}
{'statesScanned': 7603246, 'win?': 0, 'timeTaken': '0:15:16.462000', 'score': 2268, 'startTime': '2016-11-28 06:52:33', 'maxTile': 1024, 'moves': 1034}
{'statesScanned': 10288364, 'win?': 1, 'timeTaken': '0:20:57.880000', 'score': 4306, 'startTime': '2016-11-28 07:07:50', 'maxTile': 2048, 'moves': 1960}
{'statesScanned': 13885704, 'win?': 1, 'timeTaken': '0:28:06.939000', 'score': 4328, 'startTime': '2016-11-28 07:28:49', 'maxTile': 2048, 'moves': 1956}
{'statesScanned': 4791585, 'win?': 0, 'timeTaken': '0:09:23.537000', 'score': 1330, 'startTime': '2016-11-28 07:56:57', 'maxTile': 512, 'moves': 609}
{'statesScanned': 7659600, 'win?': 0, 'timeTaken': '0:15:15.718000', 'score': 2280, 'startTime': '2016-11-28 08:06:22', 'maxTile': 1024, 'moves': 1028}
{'statesScanned': 5746884, 'win?': 0, 'timeTaken': '0:11:25.370000', 'score': 1520, 'startTime': '2016-11-28 08:21:38', 'maxTile': 512, 'moves': 687}
{'statesScanned': 10337214, 'win?': 1, 'timeTaken': '0:21:03.871000', 'score': 4066, 'startTime': '2016-11-28 08:33:05', 'maxTile': 2048, 'moves': 1838}
{'statesScanned': 13398570, 'win?': 1, 'timeTaken': '0:27:00.391000', 'score': 4200, 'startTime': '2016-11-28 08:54:10', 'maxTile': 2048, 'moves': 1917}
{'statesScanned': 7371027, 'win?': 0, 'timeTaken': '0:14:45.277000', 'score': 2504, 'startTime': '2016-11-28 09:21:11', 'maxTile': 1024, 'moves': 1133}
{'statesScanned': 6683318, 'win?': 0, 'timeTaken': '0:13:22.476000', 'score': 2184, 'startTime': '2016-11-28 09:35:57', 'maxTile': 1024, 'moves': 1011}
{'statesScanned': 7133847, 'win?': 0, 'timeTaken': '0:15:14.368000', 'score': 1570, 'startTime': '2016-11-27 20:11:18', 'maxTile': 1024, 'moves': 708}
{'statesScanned': 8955545, 'win?': 0, 'timeTaken': '0:20:06.315000', 'score': 2194, 'startTime': '2016-11-27 20:26:33', 'maxTile': 1024, 'moves': 976}
{'statesScanned': 12859521, 'win?': 1, 'timeTaken': '0:28:08.778000', 'score': 4076, 'startTime': '2016-11-27 20:46:40', 'maxTile': 2048, 'moves': 1844}
{'statesScanned': 13150683, 'win?': 1, 'timeTaken': '0:29:38.802000', 'score': 4480, 'startTime': '2016-11-27 21:14:50', 'maxTile': 2048, 'moves': 2036}
{'statesScanned': 10990930, 'win?': 1, 'timeTaken': '0:23:49.887000', 'score': 3242, 'startTime': '2016-11-27 21:44:30', 'maxTile': 2048, 'moves': 1452}
{'statesScanned': 9646375, 'win?': 0, 'timeTaken': '0:21:41.878000', 'score': 2868, 'startTime': '2016-11-27 23:56:36', 'maxTile': 1024, 'moves': 1298}
{'statesScanned': 6796740, 'win?': 0, 'timeTaken': '0:14:40.764000', 'score': 2144, 'startTime': '2016-11-28 00:18:19', 'maxTile': 1024, 'moves': 969}
{'statesScanned': 10144858, 'win?': 1, 'timeTaken': '0:22:00.886000', 'score': 2804, 'startTime': '2016-11-28 00:33:00', 'maxTile': 2048, 'moves': 1262}
{'statesScanned': 10003875, 'win?': 1, 'timeTaken': '0:21:58.212000', 'score': 3208, 'startTime': '2016-11-28 00:55:02', 'maxTile': 2048, 'moves': 1452}
{'statesScanned': 9150940, 'win?': 0, 'timeTaken': '0:19:57.380000', 'score': 2590, 'startTime': '2016-11-28 01:17:01', 'maxTile': 1024, 'moves': 1168}
{'statesScanned': 9761100, 'win?': 0, 'timeTaken': '0:21:12.070000', 'score': 2872, 'startTime': '2016-11-28 01:37:00', 'maxTile': 1024, 'moves': 1297}
